ingredient',pairings'
"'lemons, meyer'","['cream', ' grapefruit', ' honey', ' lemon', ' lime', ' orange', ' sugar', ' vanilla']"
"'lemons, preserved'","['cinnamon', ' cloves', ' lamb', ' nigella seeds', ' saffron']"
'lemon balm',"['apricots', ' asparagus', ' berries', ' carrots', ' chicken', ' chives', ' dill', ' fennel bulb', ' fish', ' fruit', ' ginger', ' melon', ' mint', ' nectarines', ' parsley, flat-leaf', ' peaches', ' peas', ' salads', ' teas']"
'lemon basil',"['apricots', ' berries', ' cinnamon', ' desserts', ' fish', ' peaches', ' seafood', ' shellfish', ' soups', ' vegetables']"
'lemongrass',"['basil', ' beef', ' chicken', ' chile peppers, red', ' chile peppers, green', ' chives', ' cilantro', ' cinnamon', ' cloves', ' coconut and coconut milk', ' coriander', ' crab', ' cream', ' curries', ' fish', ' fruits', ' galangal', ' garlic', ' ginger', ' honey', ' lime, juice', ' lobster', ' meats', ' mint', ' noodles, rice', ' offal', ' onions', ' parsley', ' peanuts', ' pork', ' poultry', ' sage', ' salads and salad dressings', ' scallions', ' shallots', ' shellfish', ' shrimp', ' soups', ' spring rolls', ' stews', ' teas', ' turmeric', ' vanilla', ' vegetables', ' vinaigrettes']"
'lemon thyme',"['asparagus', ' basil', ' bay leaf', ' beets', ' beverages', ' bouillabaisse', ' carrots', ' chicken', ' chives', ' eggs', ' fennel', ' figs', ' fish', ' fruits', ' ginger', ' halibut', ' lamb', ' marjoram', ' meats', ' mint', ' orange', ' parsley', ' potatoes', ' poultry', ' rabbit', ' rosemary', ' sage', ' salads, fruit', ' salads, green', ' seafood', ' shellfish', ' sole', ' spinach', ' stews', ' stocks and broths, fish', ' stocks and broths, seafood', ' stuffings', ' veal', ' vegetables']"
'lemon verbena',"['anise hyssop', ' apricots', ' baked goods', ' basil', ' beets', ' berries', ' beverages', ' blueberries', ' butter, unsalted', ' carrots', ' cherries', ' chicken', ' chile peppers', ' chives', ' cilantro', ' cinnamon', ' cream and ice cream', ' crème fraîche', ' currants, red', ' custards', ' desserts', ' fish', ' fruits', ' garlic', ' ginger', ' grapes', ' honey', ' lamb', ' lavender', ' lemon, juice', ' lemonade', ' lemongrass', ' lemon thyme', ' lime, juice', ' melon', ' milk', ' mint', ' mushrooms', ' nectarines', ' peaches', ' peas', ' plums', ' raspberries', ' rice', ' salads, fruit and green', ' salt', ' sour cream', ' strawberries', ' sugar', ' tamarind', ' tea, green', ' zucchini']"
'lentils',"['apples, cider', ' apples, juice', ' bacon', ' bay leaf', ' bell peppers', ' bouquet garni', ' bread and croutons', ' butter, unsalted', ' cardamom', ' carrots', ' cayenne', ' celery', ' celery root', ' cheese, goat', ' chervil', ' chile peppers, dried red', ' chile peppers, fresh green', ' chives', ' cilantro', ' cinnamon', ' cloves', ' coconut', ' cornichons', ' cream', ' cumin', ' curry, leaves', ' curry, powder', ' curry, sauces', ' dill', ' eggplant', ' game birds, roasted', ' garlic', ' ginger', ' ham and ham hocks', ' honey', ' lamb', ' leeks', ' lemon, juice', ' lime, juice', ' meats', ' mint', ' mirepoix', ' mustard, dijon', ' mustard seeds, black', ' oil, hazelnut', ' oil, peanut', ' oil, vegetable', ' oil, walnut', ' olive oil', ' onions', ' oregano', ' parsley, flat-leaf', ' pepper, black', ' pepper, white', ' pineapple', ' pork', ' poultry, roasted', ' prosciutto', ' salmon', ' salt, kosher', ' sausage', ' scallions', ' shallots', ' sorrel', ' soups', ' soy sauce', ' spinach', ' squash, winter', ' stocks, chicken', ' stocks, vegetable', ' thyme', ' tomatoes', ' turmeric', ' turnips', ' vinegar, balsamic', ' vinegar, red wine', ' vinegar, sherry', ' walnuts', ' wine, red', ' zucchini']"
'lettuces',"['apples', ' bacon', ' basil', ' bread, breadsticks, croutons, etc.', ' capers', ' cheese', ' chicories, aka bitter greens', ' dill', ' eggs', ' fennel leaves', ' garlic', ' lemon, juice', ' mint', ' mushrooms', ' mustard, dijon', ' nuts', ' oil, hazelnut', ' oil, peanut', ' oil, walnut', ' olive oil', ' olives', ' orange', ' parsley', ' peaches', ' pears', ' pepper, black', ' raisins', ' salt', ' shallots', ' sprouts', ' tarragon', ' vegetables', ' vinaigrette', ' vinegar, balsamic', ' vinegar, cider', ' vinegar, red wine', ' watercress']"
"'lettuce, bibb'","['arugula', ' avocados', ' basil', ' chervil', ' chives', ' cucumbers', ' fines herbes', ' lemon', ' orange', ' parsley', ' pepper, black', ' radishes', ' salt', ' sesame seeds', ' shallots', ' tarragon', ' vinaigrette', ' watercress', ' yogurt']"
"'lettuces, bitter greens and chicories'","['bacon', ' basil', ' beans', ' butter', ' cheese, asiago', ' cheese, gruyère', ' cheese, parmesan', ' cilantro', ' cream', ' eggs, hard-boiled', ' garlic', ' lemon, juice', ' lemon balm', ' nuts', ' olives', ' olive oil', ' onions, yellow', ' pancetta', ' parsley', ' pasta', ' red pepper flakes', ' rices', ' salt, kosher', ' scallions', ' shallots', ' sugar', ' thyme', ' vinegar, balsamic', ' vinegar, red wine', ' vinegar, white', ' walnuts']"
"'lettuces, mesclun greens'","['basil', ' cheese, goat', ' chervil', ' chives', ' confit', ' hazelnuts', ' lemon, juice', ' mushrooms, wild', ' olive oil', ' parsley, flat-leaf', ' pecan', ' pepper, black', ' salt', ' shallots', ' tarragon', ' vinaigrettes']"
"'lettuce, romaine'","['anchovies', ' avocados', ' bell peppers, green', ' bell peppers, red', ' butter', ' caesar salad', ' capers', ' cayenne', ' cheese, feta', ' cheese, dry jack', ' cheese, monterey jack', ' cheese, parmesan', ' cheese, stilton', ' chervil', ' chile peppers, jalapeño', ' chile peppers, serrano', ' chives', ' cilantro', ' cream', ' crème fraîche', ' croutons', ' cucumbers', ' eggs, yolk', ' garlic', ' grapefruit', ' ham', ' leeks', ' lemon, juice', ' lime, juice', ' lime, zest', ' lovage', ' mayonnaise', ' mustard, dijon', ' oil, canola', ' oil, vegetable', ' olive oil', ' olives, kalamata', ' onions', ' parsley, flat-leaf', ' pepper, black', ' pepper, white', ' salt, kosher', ' salt, sea', ' shallots', ' sour cream', ' stocks, chicken', ' stocks, vegetable', ' tarragon', ' tomatoes', ' vinaigrette', ' vinegar, balsamic', ' vinegar, cider', ' vinegar, raspberry', ' vinegar, red wine', ' vinegar, sherry', ' vinegar, white wine', ' walnuts', ' worcestershire sauce']"
'limes',"['apricots', ' avocados', ' berries, blueberries', ' berries, gooseberries', ' berries, raspberries', ' berries, strawberries', ' butter', ' buttermilk', ' capers', ' caramel', ' ceviche', ' chicken', ' chile peppers', ' chocolate, white', ' cilantro', ' coconut and coconut milk', ' cream', ' cream cheese', ' crème fraîche', ' dates', ' duck', ' figs, dried', ' fish', ' fruits', ' gin', ' ginger', ' gooseberries', ' grapefruit', ' green tea', ' guacamole', ' guava', ' hazelnuts', ' honey, raw', ' honey, burnt', ' jicama', ' kiwi fruit', ' lemon', ' lemongrass', ' lime, juice', ' lime, zest', ' lobster', ' macadamia nuts', ' mangoes', ' maple syrup', ' margaritas', ' mascarpone', ' meats', ' melon', ' mint', ' orange, juice', ' papayas', ' passion fruit', ' peanuts', ' pecans', ' pie', ' raspberries', ' rum', ' salt', ' scallops', ' sea bass', ' shellfish', ' shrimp', ' strawberries', ' sugar, brown', ' sugar, white', ' sweet potatoes', ' tequila', ' tomatoes', ' tuna', ' vanilla', ' vodka', ' yogurt']"
"'liver, calf's'","['apples', ' arugula', ' avocado', ' bacon', ' bay leaf', ' bouquet garni', ' butter, unsalted', ' carrots', ' celery', ' cheese, parmesan', ' chervil', ' chives', ' cream', ' figs', ' garlic', ' jasmine', ' lemon, juice', ' milk', ' mushrooms', ' mustard, dijon', ' oil, canola', ' olive oil', ' olives, green', ' onions, fried', ' onions, red', ' onions, vidalia', ' onions, white', ' orange, zest', ' pancetta', ' parsley, flat-leaf', ' pears', ' pepper, black', ' pepper, white', ' polenta', ' potatoes, mashed', ' prunes', ' rhubarb', ' sage', ' salt, kosher', ' sauce, brown butter', ' sausages', ' shallots', ' spinach', ' stock, chicken', ' sugar, brown', ' thyme', ' tomatoes', ' turnips', ' vinegar, balsamic', ' vinegar, cider', ' vinegar, red wine', ' vinegar, sherry', ' wine, dry red or white']"
"'liver, chicken'","['anchovies', ' apples', ' bacon', ' bay leaf', ' butter, unsalted', ' capers', ' chicken fat', ' chives', ' cilantro', ' eggs, hard-boiled', ' garlic', ' kale', ' lemon, juice', ' lime, juice', ' oil, peanut', ' olive oil', ' onions, fried', ' onions, red', ' onions, sweet', ' parsley, flat-leaf', ' peanuts', ' pepper, black', ' pepper, white', ' radishes', ' red pepper flakes', ' rosemary', ' sage', ' salt, kosher', ' shallots', ' sherry, dry', ' soy sauce', ' sugar', ' thyme', ' vinegar, balsamic', ' vinegar, sherry', ' wine, dry red']"
'lobster',"['anchovies', ' apples', ' artichokes', ' asparagus', ' avocado', ' bacon', ' basil', ' bay leaf', ' beans, green', ' beans, flageolets', ' beans, white', ' beets', ' bell peppers', ' brandy', ' butter, unsalted', ' cabbage', ' capers', ' carrots', ' caviar', ' cayenne', ' celery', ' celery root', ' champagne', ' cheese, gruyère', ' cheese, parmesan', ' chervil', ' chile peppers, jalapeño', ' chili paste', ' chives', ' cilantro', ' cinnamon', ' clams', ' clove', ' coconut and coconut milk', ' cognac', ' coriander', ' corn', ' crab', ' cream', ' crème fraîche', ' cucumbers', ' cumin', ' curry, paste (red)', ' curry, powder', ' curry leaf', ' daikon', ' dill', ' eggs and egg yolks', ' endive', ' fennel', ' fennel seeds', ' fenugreek seeds', ' figs', ' fish sauce, thai', ' foie gras', ' frisée', ' garlic', ' ginger, fresh', ' grapefruit', ' grapes', ' guacamole', ' haricots verts', ' honey', ' horseradish', ' kiwi fruit', ' kumquats', ' leeks', ' lemon, juice', ' lemon, zest', ' lemon, meyer', ' lemongrass', ' lentils', ' lime, leaf (kaffir)', ' lime, juice', ' lobster roe', ' macaroni and cheese', ' mace', ' mâche', ' mangoes', ' mascarpone', ' mayonnaise', ' mint', ' mirepoix', ' miso, white', ' mushrooms, button', ' mushrooms, cepes', ' mushrooms, chanterelles', ' mushrooms, cremini', ' mushrooms, porcini', ' mushrooms, shiitake', ' mushrooms, white', ' mushrooms, wild', ' mussels', ' mustard, dry', ' mustard, seeds', ' nutmeg', ' oil, canola', ' oil, corn', ' oil, grapeseed', ' oil, hazelnut', ' oil, peanut', ' oil, sesame', ' oil, vegetable', ' oil, walnut', ' olive oil', ' onions', ' orange (juice, zest) and clementine', ' oyster sauce', ' papaya', ' paprika, sweet', ' parsley, flat-leaf', ' parsnips', ' pasta', ' passion fruit', ' peanuts', ' peas', ' peas, snow', ' pepper, black', ' pepper, white', ' pernod', ' pineapple', ' port', ' potatoes', ' pumpkin', ' radicchio', ' red pepper flakes', ' rhubarb', ' rice', ' rosemary', ' saffron', ' salt, kosher', ' salt, sea', ' salt, sel gris', ' sauces, béchamel', ' scallions', ' scallops', ' sea urchin', ' shallots', ' shrimp', ' snow peas', ' soy sauce', ' spinach', ' squid', ' star anise', ' stocks, chicken', ' stocks, fish', ' stocks, lobster', ' stocks, shellfish', ' stocks, veal', ' stocks, vegetable', ' tabasco sauce', ' tamarind, puree', ' tarragon', ' thyme', ' tomatoes, juice', ' tomatoes, paste', ' tomatoes, pulp', ' truffles, black', ' truffles, juice', ' vanilla', ' vermouth, dry', ' vinaigrette', ' vinegar, red wine', ' vinegar, rice wine', ' vinegar, sherry', ' vinegar, white wine', ' vodka', ' wasabi', ' water chestnuts', ' watermelon', ' whiskey', ' wine, dry to off-dry white', ' worcestershire sauce', ' yuzu juice']"
'lotus root',"['ginger', ' lemon', ' lime', ' oil, vegetable', ' salads', ' soups', ' soy sauce', ' stir-fried dishes', ' tempura', ' vinegar, rice', ' wine, rice']"
'lovage',"['apples', ' bay leaf', ' beans, green', ' bell peppers', ' caraway', ' carrots', ' chard', ' cheese', ' chervil', ' chicken', ' chile peppers', ' chives', ' clams', ' corn', ' crab, dungeness', ' cream cheese', ' dill', ' eggs and egg dishes', ' fennel', ' fish', ' garlic', ' greens', ' ham', ' juniper berries', ' lamb', ' marjoram', ' mint', ' mushrooms', ' mussels', ' mustard', ' nettles, stinging', ' onions', ' oregano', ' parsley', ' pork', ' potatoes', ' rabbit', ' rice', ' salads, green', ' sauces', ' shellfish', ' sorrel', ' soups', ' spinach', ' stews', ' tarragon', ' thyme', ' tomatoes and tomato juice', ' veal', ' vegetables', ' zucchini']"
'luxurious',"['caviar', ' champagne', ' foie gras', ' ibérico ham', ' kobe beef', ' saffron', ' smoked fish', ' vanilla', ' truffles, black', ' truffles, white', ' wine']"
'lychees',"['anise hyssop', ' berries', ' blackberries', ' chicken', ' chile peppers', ' cilantro', ' coconut and coconut milk', ' cream', ' cream cheese', ' curry', ' duck', ' foie gras', ' ginger', ' honey', ' kiwi fruit', ' lemon, juice', ' lemongrass', ' lime, juice', ' mangoes', ' melon', ' nuts', ' orange, tangerine', ' passion fruit', ' pears', ' pineapple', ' plums', ' pork', ' raspberries', ' rice', ' rum', ' sake', ' salads, fruit', ' shellfish, scallops', ' shellfish, shrimp', ' strawberries', ' sugar', ' vodka', ' wine, plum', ' wine, sparkling', ' yogurt']"
'macadamia nuts',"['apricots', ' bananas', ' beets', ' bourbon', ' brandy', ' caramel', ' cashews', ' chicken', ' chocolate', ' coconut', ' coffee', ' crab', ' cream', ' dates', ' desserts', ' figs, dried', ' fish', ' ginger', ' goat cheese', ' grapefruit', ' guava', ' honey', ' kumquats', ' lamb', ' lemon', ' lime', ' mango', ' maple syrup', ' mint', ' orange', ' papaya', ' passion fruit', ' peaches', ' pineapple', ' prunes', ' raspberries', ' rum', ' scallops', ' sugar, brown', ' vanilla']"
'mace',"['allspice', ' baked goods', ' beans', ' broccoli', ' butter', ' cabbage', ' cardamom', ' carrots', ' cheese and cheese dishes', ' cherry pie', ' chicken', ' chocolate', ' chowders', ' cinnamon', ' cloves', ' coriander', ' cream / milk', ' cumin', ' curry', ' eggs', ' fish', ' garam masala', ' ginger', ' hazelnuts', ' ketchup', ' lamb', ' meats', ' nutmeg', ' onions', ' paprika', ' pastries', ' pepper', ' potatoes', ' pound cake', ' puddings', ' pumpkin', ' salads, fruit', ' sauces, béchamel', ' sauces, cream', ' sauces, onion', ' sausages', ' shellfish, shrimp', ' soups and consommés', ' spinach', ' stuffing', ' sweet potatoes', ' thyme', ' veal', ' vegetables', ' apples', ' bacon', ' beets', ' butter', ' cheese, goat', ' cream', ' eggs, quail', ' endive', ' lemon, juice', ' mustard, dijon', ' nuts, pistachios', ' nuts, walnuts', ' oil, grapeseed', ' oil, nut', ' olive oil', ' orange', ' pomegranates', ' potatoes', ' scallops', ' shallots', ' vinegar, champagne', ' vinegar, sherry']"
'mackerel',"['apples', ' artichokes', ' bay leaf', ' beets', ' bell peppers, red', ' bell peppers, yellow', ' butter', ' capers', ' caraway seeds', ' caviar', ' ceviche', ' chile peppers', ' chives', ' cilantro', ' cinnamon', ' cloves', ' coriander', ' cornichons', ' cream', ' crème fraîche', ' cucumber', ' cumin', ' dill', ' fennel', ' garlic', ' ginger', ' gooseberries', ' horseradish', ' lemon, juice', ' lemon thyme', ' lentils', ' lime, juice', ' mint', ' miso', ' mushrooms', ' mustard, dijon', ' mustard seeds', ' oil, canola', ' oil, corn', ' oil, peanut', ' oil, sesame', ' oil, vegetable', ' olive oil', ' onions', ' orange, juice', ' pancetta', ' parsley, flat-leaf', ' pepper, black', ' pepper, green', ' pepper, white', ' red pepper flakes', ' rosemary', ' saffron', ' sake', ' salmon caviar', ' salt, sea', ' scallions', ' sesame seeds', ' shallots', ' sorrel', ' soy sauce', ' stocks, chicken', ' stocks, fish', ' sugar', ' thyme', ' vinegar, champagne', ' vinegar, red wine', ' vinegar, sherry', ' vinegar, white wine', ' wine, dry white']"
'mahi mahi',"['avocado', ' cabbage', ' cilantro', ' coriander', ' dill', ' fruits', ' gin', ' juniper berries', ' lemon, juice', ' lemon, zest', ' orange, juice', ' orange, zest', ' pepper, white', ' salt, sea', ' sugar']"
'malt',"['bananas', ' caramel', ' chocolate', ' cinnamon', ' coffee', ' cream and ice cream', ' nuts', ' sugar', ' vanilla']"
'mangoes',"['almonds', ' amaretto', ' anise', ' avocados', ' bananas', ' basil', ' bell peppers', ' beverages', ' blackberries', ' blueberries', ' buttermilk', ' butterscotch', ' cabbage, green', ' caramel', ' cashews', ' cayenne', ' ceviche', ' champagne', ' cheese', ' chile peppers', ' chocolate, white', ' chutneys', ' cilantro', ' cinnamon', ' cloves', ' coconut and coconut milk', ' coffee', ' cream', ' crème fraîche', ' curry powder', ' custard', ' fish', ' game', ' garlic', ' ginger, fresh', ' grapefruit', ' honey', ' kirsch', ' kiwi fruit', ' kumquats', ' lemon, juice', ' lime, juice', ' macadamia nuts', ' mascarpone', ' milk', ' mint', ' nutmeg', ' oil, vegetable', ' olive oil', ' onions, red', ' onions, sweet', ' orange, juice', ' orange, zest', ' orange liqueur', ' papaya', ' passion fruit', ' pepper, white', ' pineapple', ' pork', ' poultry, chicken', ' poultry, duck', ' prosciutto', ' raspberries', ' rice', ' rum', ' sake', ' salads, fruit', ' salmon', ' salt', ' sauternes', ' scallions', ' sesame seeds', ' shellfish, shrimp', ' sorbet', ' squab', ' star anise', ' strawberries', ' sugar, light brown', ' sugar, white', ' tabasco sauce', ' tuna', ' vanilla', ' vinegar, balsamic', ' vinegar, red wine', ' violets', ' vodka', ' wine, chardonnay', ' wine, sweet', ' yogurt']"
'maple syrup',"['almonds', ' anise', ' apples', ' apricots', ' bacon', ' baked goods', ' bananas', ' blueberries', ' breakfast / brunch', ' butter', ' buttermilk', ' caramel', ' carrots', ' chestnuts', ' chocolate', ' cinnamon', ' coffee', ' corn syrup', ' cream', ' cream cheese', ' custard', ' dates', ' desserts', ' duck', ' figs', ' foie gras', ' french toast', ' fruit', ' ginger', ' ham', ' hazelnuts', ' ice cream, coffee', ' ice cream, vanilla', ' lemon, juice', ' lime, juice', ' macadamia nuts', ' mascarpone', ' nectarines', ' nutmeg', ' nuts', ' oats', ' onions', ' orange', ' pancakes', ' peaches', ' pears', ' pecans', ' persimmons', ' pineapple', ' plums', ' pork ribs', ' prunes', ' pumpkin', ' quince', ' raisins', ' raspberries', ' rhubarb', ' rum, dark', ' rum, light', ' star anise', ' strawberries', ' sweet potatoes', ' sugar, light brown', ' sugar, raw', ' sugar, white', ' tea', ' turkey', ' vanilla', ' waffles', ' walnuts', ' whiskey', ' yogurt']"
'marjoram',"['artichokes', ' asparagus', ' basil', ' bay leaf', ' beans', ' beef', ' beets', ' bouquet garni', ' bread', ' butter', ' carrots', ' chard', ' cheese, fresh goat', ' cheese, mozzarella', ' chicken', ' chives', ' chowders', ' clams', ' corn', ' cucumber', ' delicate-flavored foods', ' duck', ' eggs and egg dishes', ' fish', ' fines herbes', ' garlic', ' halibut', ' lamb', ' lemon, juice', ' lima beans', ' meats', ' mint', ' mushrooms', ' oil, peanut', ' olive oil', ' olives', ' onions', ' oregano', ' parsley', ' pasta', ' peas', ' pizza', ' pork', ' potatoes', ' poultry', ' rabbit', ' risotto', ' rosemary', ' sage', ' salads', ' sauces', ' sausages', ' savory', ' shellfish', ' soups', ' spinach', ' squash, summer', ' stews', ' stuffing', ' thyme', ' tomatoes and tomato sauce', ' tuna', ' veal', ' vegetables', ' vinaigrettes', ' wine, red', ' zucchini']"
'mascarpone',"['almonds', ' anchovies', ' apricots', ' arugula', ' berries', ' biscotti', ' blackberries', ' blueberries', ' brandy', ' butter', ' caramel', ' cheese, ricotta', ' cherries', ' chives', ' chocolate', ' cinnamon', ' cloves', ' coffee / espresso', ' cream', ' cream cheese', ' crème fraîche', ' currants, red', ' dates', ' figs', ' fruits, tropical', ' ginger', ' guava', ' hazelnuts', ' honey', ' kirsch', ' ladyfingers', ' lemon, juice', ' lemon, zest', ' lime', ' maple syrup', ' mushrooms', ' mustard', ' nectarines', ' nutmeg', ' oats', ' orange', ' pasta', ' peaches', ' pears', ' pepper, black', ' pesto', ' pine nuts', ' pistachios', ' prosciutto', ' pumpkin', ' quince', ' raisins', ' raspberries', ' rhubarb', ' rum', ' strawberries', ' sugar, raw', ' sugar, white', ' truffle oil', ' vanilla', ' vinegar, balsamic', ' walnuts', ' wine, red', ' wine, sweet']"
'melon/ muskmelons',"['almonds', ' anise seeds and anise hyssop', ' apricots', ' basil', ' beverages', ' blackberries', ' blueberries', ' champagne', ' cherries', ' chile peppers', ' chili powder', ' chili sauce', ' cilantro', ' cognac', ' cointreau', ' cream / milk', ' crème fraîche', ' cucumbers', ' curaçao', ' cured meats', ' curry', ' fennel', ' ginger', ' grand marnier', ' grapefruit', ' grapes', ' hazelnuts', ' honey', ' ices and ice creams', ' kirsch', ' kiwi fruit', ' lemon, juice', ' lemon balm', ' lime, juice', ' lychees', ' macadamia nuts', ' madeira', ' mangoes', ' midori liqueur', ' mint', ' olive oil', ' orange', ' orange-flower water', ' pears', ' pecans', ' pepper, black', ' pepper, white', ' port', ' prosciutto', ' raspberries', ' rum', ' sake', ' salads', ' salsas, fruit', ' salt, kosher', ' sambuca', ' soups', ' strawberries, fruit', ' strawberries, puree', ' tarragon', ' tequila', ' vanilla', ' vinegar, rice', ' wines, sweet', ' sauternes', ' yogurt', ' yuzu juice']"
'merlot',"['beef', ' cheese', ' chicken', ' duck', ' lamb', ' meat, red', ' mushrooms', ' pork', ' steak', ' turkey', ' veal']"
'mint',"['apples', ' asparagus', ' basil', ' beans, black', ' beans, fresh', ' beans, white', ' beef', ' beets', ' bell peppers', ' berries', ' beverages', ' blackberries', ' bourbon', ' buttermilk', ' cardamom', ' carrots', ' cashews', ' champagne', ' cheese, feta', ' cheese, ricotta', ' chicken', ' chile peppers', ' chives', ' chocolate', ' chutneys', ' cilantro', ' cinnamon', ' citrus', ' cloves', ' coconut', ' cocktails, mint julep', ' cocktails, pimms no. 1 cup', ' cream and ice cream', ' crème fraîche', ' cucumbers', ' cumin', ' curries', ' desserts', ' dill', ' duck', ' eggplant', ' endive', ' fenugreek', ' fish', ' fruits', ' fruits, tropical', ' garlic', ' ginger', ' grapefruit', ' grapes', ' halibut', ' honey', ' jellies', ' kumquats', ' lamb', ' lavender', ' lemon', ' lemongrass', ' lemon verbena', ' lentils', ' lettuce', ' lime', ' mango', ' marinades', ' marjoram', ' meats', ' melon', ' milk', ' mushrooms', ' mussels', ' nectarines', ' olives, black', ' onions', ' orange', ' oregano', ' papaya', ' paprika', ' parsley', ' pasta', ' peaches', ' pears', ' peas', ' pepper', ' pineapple', ' plums', ' pork', ' potatoes', ' poultry', ' pumpkin', ' punches, fruit', ' radishes', ' raitas', ' raspberries', ' rice and rice dishes', ' rosemary', ' sage', ' salads, bean', ' salads, fruit', ' salads, green', ' salads, vegetable', ' salsas', ' sea bass', ' shellfish', ' shrimp', ' skate', ' soups', ' soy sauce', ' spinach', ' spring rolls', ' squash, summer', ' stews', ' strawberries', ' sugar', ' sumac', ' tabbouleh', ' tea', ' thyme', ' tomatoes', ' trout', ' tuna', ' vanilla', ' veal', ' vegetables', ' vinegar, cider', ' vinegar, rice wine', ' watermelon', ' yogurt', ' zucchini']"
"'mint, dried'","['beef', ' bell peppers', ' bold-flavored foods', ' cheese, feta', ' chicken', ' cucumbers', ' duck', ' garlic', ' hummus', ' kebabs', ' lamb', ' leeks', ' lemon', ' lentils', ' meats', ' olive oil', ' olives', ' onions, red', ' oregano', ' pasta', ' pork', ' rice', ' soups, chicken', ' soups, vegetable', ' tomatoes', ' yogurt', ' zucchini']"
"'mint, peppermint'","['apples', ' berries', ' beverages', ' candies', ' carrots', ' chocolate', ' citrus', ' cream and ice cream', ' desserts', ' iced desserts', ' mangoes', ' milk', ' strawberries', ' teas']"
'miso and miso soup',"['beef', ' chicken', ' duck', ' fish, cod', ' fish, salmon', ' garlic', ' ginger', ' honey', ' legumes', ' lemongrass', ' marinades', ' mirin', ' mushrooms', ' mustard', ' oysters', ' pineapple', ' rice, brown', ' sake', ' salad dressings', ' sauces', ' sesame oil', ' soups', ' soy sauce', ' steak', ' stews', ' stock, chicken', ' sugar', ' tofu', ' vinegar, rice', ' walnuts']"
'molasses',"['apples', ' baked goods', ' barbecue sauce', ' beans, baked', ' bread', ' butter, unsalted', ' cinnamon', ' cream', ' ginger', ' gingerbread', ' grand marnier', ' lemon, juice', ' marinades', ' orange', ' pancakes', ' plums', ' popcorn', ' raspberries', ' sugar, brown', ' vanilla', ' walnuts']"
'monkfish',"['aioli', ' apples', ' apricots, dried', ' artichokes, jerusalem', ' arugula', ' asparagus', ' bacon', ' basil', ' bay leaf', ' beans, white', ' beer, wheat', ' brandy', ' bread crumbs', ' butter, clarified', ' butter, unsalted', ' cabbage, green', ' cabbage, red', ' cabbage, savoy', ' caperberries', ' capers', ' cardamom', ' carrots', ' cayenne', ' celery', ' chard', ' chervil', ' chile peppers', ' chili powder', ' chives', ' cider, hard', ' cilantro', ' cinnamon', ' clams', ' coriander', ' couscous', ' cream', ' cumin', ' curry powder', ' fennel', ' fennel seeds', ' garlic', ' ginger, fresh', ' leeks', ' lemon, juice', ' lemon, zest', ' lemon, preserved', ' lemongrass', ' lemon thyme', ' lobster', ' mushrooms', ' mussels', ' oil, canola', ' oil, corn', ' oil, peanut', ' oil, vegetable', ' olive oil', ' olives', ' onions', ' orange, zest', ' oregano', ' pancetta', ' paprika, sweet', ' parmesan cheese', ' parsley, flat-leaf', ' pesto', ' pepper, black', ' pepper, green', ' pepper, white', ' pernod', ' pine nuts', ' pork, bacon', ' pork, pork belly', ' potatoes', ' red pepper flakes', ' romesco sauce', ' rosemary', ' saffron', ' sage', ' salmon', ' salmon, smoked', ' salt, kosher', ' salt, sea', ' sausage', ' shallots', ' sherry, dry', ' soy sauce', ' spinach', ' squid', ' star anise', ' stocks and broths, chicken', ' stocks and broths, clam', ' stocks and broths, fish', ' stocks and broths, shellfish', ' stocks and broths, veal', ' striped bass', ' swiss chard', ' tarragon', ' thyme', ' tomatoes', ' turmeric', ' vinaigrette', ' vinegar, white wine', ' walnuts', ' watercress', ' wine, dry white']"
